,area
500,1128.0
501,973.5
502,757.5
503,2089.5
504,825.5
505,1056.5
506,807.0
507,826.5
508,1058.5
509,1082.0
510,889.5
511,1138.5
512,1180.0
513,962.5
514,948.5
515,828.0
516,1031.5
517,3376.0
518,905.5
519,745.5
520,1039.5
521,1726.5
522,838.5
523,901.0
524,991.0
525,1691.0
526,928.5
527,866.5
528,916.0
529,1039.5
530,1747.5
531,1855.0
532,1011.0
533,719.5
534,910.0
535,1898.5
536,725.0
537,930.0
538,787.0
539,737.0
540,820.0
541,988.5
542,969.0
543,911.0
544,772.5
545,916.0
546,994.5
547,830.0
548,1427.5
549,940.0
550,849.0
551,809.0
